row_index,old_name,PlantCode,GenID,new_name,source
1,gen-1,34,1P,Rollins_1P,eia_exact
2,gen-2,151,1,McClure_1,eia_exact
3,gen-3,151,2,McClure_2,eia_exact
4,gen-4,161,1,Turlock Lake_1,eia_exact
5,gen-5,161,2,Turlock Lake_2,eia_exact
6,gen-6,161,3,Turlock Lake_3,eia_exact
7,gen-7,162,1,Hickman_1,eia_exact
8,gen-8,162,2,Hickman_2,eia_exact
9,gen-9,180,1,Volta 2_1,eia_exact
10,gen-10,214,1,Alta Powerhouse_1,eia_exact
11,gen-11,215,1,Angels_1,eia_exact
12,gen-12,219,1,Belden_1,eia_exact
13,gen-13,220,H1,Bucks Creek_H1,eia_exact
14,gen-14,220,H2,Bucks Creek_H2,eia_exact
15,gen-15,221,1,Butt Valley_1,eia_exact
16,gen-16,222,1,Caribou 1_1,eia_exact
17,gen-17,222,2,Caribou 1_2,eia_exact
18,gen-18,222,3,Caribou 1_3,eia_exact
19,gen-19,223,4,Caribou 2_4,eia_exact
20,gen-20,223,5,Caribou 2_5,eia_exact
21,gen-21,227,1,Coleman PH_1,eia_exact
22,gen-22,229,1,Cow Creek_1,eia_exact
23,gen-23,229,2,Cow Creek_2,eia_exact
24,gen-24,235,1,Drum 1_1,eia_exact
25,gen-25,235,2,Drum 1_2,eia_exact
26,gen-26,235,3,Drum 1_3,eia_exact
27,gen-27,235,4,Drum 1_4,eia_exact
28,gen-28,237,1,Dutch Flat_1,eia_exact
29,gen-29,238,1,El Dorado_1,eia_exact
30,gen-30,238,2,El Dorado_2,eia_exact
31,gen-31,239,1,Electra_1,eia_exact
32,gen-32,239,2,Electra_2,eia_exact
33,gen-33,239,3,Electra_3,eia_exact
34,gen-34,240,H1,Haas_H1,eia_exact
35,gen-35,240,H2,Haas_H2,eia_exact
36,gen-36,241,1,Halsey_1,eia_exact
37,gen-37,242,1,Hamilton Branch_1,eia_exact
38,gen-38,242,2,Hamilton Branch_2,eia_exact
39,gen-39,243,1,Hat Creek 1_1,eia_exact
40,gen-40,244,1,Hat Creek 2_1,eia_exact
41,gen-41,246,IC1,Humboldt Bay_IC1,eia_exact
42,gen-42,246,IC10,Humboldt Bay_IC10,eia_exact
43,gen-43,246,IC2,Humboldt Bay_IC2,eia_exact
44,gen-44,246,IC3,Humboldt Bay_IC3,eia_exact
45,gen-45,246,IC4,Humboldt Bay_IC4,eia_exact
46,gen-46,246,IC5,Humboldt Bay_IC5,eia_exact
47,gen-47,246,IC6,Humboldt Bay_IC6,eia_exact
48,gen-48,246,IC7,Humboldt Bay_IC7,eia_exact
49,gen-49,246,IC8,Humboldt Bay_IC8,eia_exact
50,gen-50,246,IC9,Humboldt Bay_IC9,eia_exact
51,gen-51,248,1,Inskip_1,eia_exact
52,gen-52,249,1,James B Black_1,eia_exact
53,gen-53,249,2,James B Black_2,eia_exact
54,gen-54,250,H1,Kerckhoff_H1,eia_exact
55,gen-55,250,H3,Kerckhoff_H3,eia_exact
