row_index,new_name,PlantCode,plant_name,plant_type,group_index,cc_unit_code,cc_configuration
1,Rollins_1P,34,Rollins,HydroPowerPlant,1,,
2,McClure_1,151,McClure,ThermalPowerPlant,1,,
3,McClure_2,151,McClure,ThermalPowerPlant,2,,
4,Turlock Lake_1,161,Turlock Lake,HydroPowerPlant,1,,
5,Turlock Lake_2,161,Turlock Lake,HydroPowerPlant,2,,
6,Turlock Lake_3,161,Turlock Lake,HydroPowerPlant,3,,
7,Hickman_1,162,Hickman,HydroPowerPlant,1,,
8,Hickman_2,162,Hickman,HydroPowerPlant,2,,
9,Volta 2_1,180,Volta 2,HydroPowerPlant,1,,
10,Alta Powerhouse_1,214,Alta Powerhouse,HydroPowerPlant,1,,
11,Angels_1,215,Angels,HydroPowerPlant,1,,
12,Belden_1,219,Belden,HydroPowerPlant,1,,
13,Bucks Creek_H1,220,Bucks Creek,HydroPowerPlant,1,,
14,Bucks Creek_H2,220,Bucks Creek,HydroPowerPlant,2,,
15,Butt Valley_1,221,Butt Valley,HydroPowerPlant,1,,
16,Caribou 1_1,222,Caribou 1,HydroPowerPlant,1,,
17,Caribou 1_2,222,Caribou 1,HydroPowerPlant,2,,
18,Caribou 1_3,222,Caribou 1,HydroPowerPlant,3,,
19,Caribou 2_4,223,Caribou 2,HydroPowerPlant,1,,
20,Caribou 2_5,223,Caribou 2,HydroPowerPlant,2,,
21,Coleman PH_1,227,Coleman PH,HydroPowerPlant,1,,
22,Cow Creek_1,229,Cow Creek,HydroPowerPlant,1,,
23,Cow Creek_2,229,Cow Creek,HydroPowerPlant,2,,
24,Drum 1_1,235,Drum 1,HydroPowerPlant,1,,
25,Drum 1_2,235,Drum 1,HydroPowerPlant,2,,
26,Drum 1_3,235,Drum 1,HydroPowerPlant,3,,
27,Drum 1_4,235,Drum 1,HydroPowerPlant,4,,
28,Dutch Flat_1,237,Dutch Flat,HydroPowerPlant,1,,
29,El Dorado_1,238,El Dorado,HydroPowerPlant,1,,
30,El Dorado_2,238,El Dorado,HydroPowerPlant,2,,
31,Electra_1,239,Electra,HydroPowerPlant,1,,
32,Electra_2,239,Electra,HydroPowerPlant,2,,
33,Electra_3,239,Electra,HydroPowerPlant,3,,
34,Haas_H1,240,Haas,HydroPowerPlant,1,,
35,Haas_H2,240,Haas,HydroPowerPlant,2,,
36,Halsey_1,241,Halsey,HydroPowerPlant,1,,
37,Hamilton Branch_1,242,Hamilton Branch,HydroPowerPlant,1,,
