row_index,new_name,FuelType,current_pm,eia_pm,changed
1,Rollins_1P,Conventional Hydroelectric,HA,HY,true
2,McClure_1,Petroleum Liquids,IC,GT,true
3,McClure_2,Natural Gas Fired Combustion Turbine,GT,GT,false
4,Turlock Lake_1,Conventional Hydroelectric,HA,HY,true
5,Turlock Lake_2,Conventional Hydroelectric,HA,HY,true
6,Turlock Lake_3,Conventional Hydroelectric,HA,HY,true
7,Hickman_1,Conventional Hydroelectric,HA,HY,true
8,Hickman_2,Conventional Hydroelectric,HA,HY,true
9,Volta 2_1,Conventional Hydroelectric,HA,HY,true
10,Alta Powerhouse_1,Conventional Hydroelectric,HA,HY,true
11,Angels_1,Conventional Hydroelectric,HA,HY,true
12,Belden_1,Conventional Hydroelectric,HA,HY,true
13,Bucks Creek_H1,Conventional Hydroelectric,HA,HY,true
14,Bucks Creek_H2,Conventional Hydroelectric,HA,HY,true
15,Butt Valley_1,Conventional Hydroelectric,HA,HY,true
16,Caribou 1_1,Conventional Hydroelectric,HA,HY,true
17,Caribou 1_2,Conventional Hydroelectric,HA,HY,true
18,Caribou 1_3,Conventional Hydroelectric,HA,HY,true
19,Caribou 2_4,Conventional Hydroelectric,HA,HY,true
20,Caribou 2_5,Conventional Hydroelectric,HA,HY,true
21,Coleman PH_1,Conventional Hydroelectric,HA,HY,true
22,Cow Creek_1,Conventional Hydroelectric,HA,HY,true
23,Cow Creek_2,Conventional Hydroelectric,HA,HY,true
24,Drum 1_1,Conventional Hydroelectric,HA,HY,true
25,Drum 1_2,Conventional Hydroelectric,HA,HY,true
26,Drum 1_3,Conventional Hydroelectric,HA,HY,true
27,Drum 1_4,Conventional Hydroelectric,HA,HY,true
28,Dutch Flat_1,Conventional Hydroelectric,HA,HY,true
29,El Dorado_1,Conventional Hydroelectric,HA,HY,true
30,El Dorado_2,Conventional Hydroelectric,HA,HY,true
31,Electra_1,Conventional Hydroelectric,HA,HY,true
32,Electra_2,Conventional Hydroelectric,HA,HY,true
33,Electra_3,Conventional Hydroelectric,HA,HY,true
34,Haas_H1,Conventional Hydroelectric,HA,HY,true
35,Haas_H2,Conventional Hydroelectric,HA,HY,true
36,Halsey_1,Conventional Hydroelectric,HA,HY,true
37,Hamilton Branch_1,Conventional Hydroelectric,HA,HY,true
38,Hamilton Branch_2,Conventional Hydroelectric,HA,HY,true
39,Hat Creek 1_1,Conventional Hydroelectric,HA,HY,true
40,Hat Creek 2_1,Conventional Hydroelectric,HA,HY,true
41,Humboldt Bay_IC1,Natural Gas Internal Combustion Engine,IC,IC,false
42,Humboldt Bay_IC10,Natural Gas Internal Combustion Engine,IC,IC,false
43,Humboldt Bay_IC2,Natural Gas Internal Combustion Engine,IC,IC,false
44,Humboldt Bay_IC3,Natural Gas Internal Combustion Engine,IC,IC,false
45,Humboldt Bay_IC4,Natural Gas Internal Combustion Engine,IC,IC,false
46,Humboldt Bay_IC5,Natural Gas Internal Combustion Engine,IC,IC,false
47,Humboldt Bay_IC6,Natural Gas Internal Combustion Engine,IC,IC,false
48,Humboldt Bay_IC7,Natural Gas Internal Combustion Engine,IC,IC,false
49,Humboldt Bay_IC8,Natural Gas Internal Combustion Engine,IC,IC,false
50,Humboldt Bay_IC9,Natural Gas Internal Combustion Engine,IC,IC,false
51,Inskip_1,Conventional Hydroelectric,HA,HY,true
52,James B Black_1,Conventional Hydroelectric,HA,HY,true
53,James B Black_2,Conventional Hydroelectric,HA,HY,true
54,Kerckhoff_H1,Conventional Hydroelectric,HA,HY,true
55,Kerckhoff_H3,Conventional Hydroelectric,HA,HY,true
56,Kilarc_1,Conventional Hydroelectric,HA,HY,true
57,Merced Falls_1,Conventional Hydroelectric,HA,HY,true
58,Dynegy Moss Landing Power Plant Hybrid_CT1A,Natural Gas Fired Combined Cycle,CT,CT,false
59,Dynegy Moss Landing Power Plant Hybrid_CT1B,Natural Gas Fired Combined Cycle,CT,CT,false
60,Dynegy Moss Landing Power Plant Hybrid_CT2A,Natural Gas Fired Combined Cycle,CT,CT,false
61,Dynegy Moss Landing Power Plant Hybrid_CT2B,Natural Gas Fired Combined Cycle,CT,CT,false
62,Dynegy Moss Landing Power Plant Hybrid_ST1,Natural Gas Fired Combined Cycle,CT,CA,true
63,Dynegy Moss Landing Power Plant Hybrid_ST2,Natural Gas Fired Combined Cycle,CT,CA,true
64,Murphys_1,Conventional Hydroelectric,HA,HY,true
65,Phoenix_1,Conventional Hydroelectric,HA,HY,true
66,Pit 1_H1,Conventional Hydroelectric,HA,HY,true
67,Pit 1_H2,Conventional Hydroelectric,HA,HY,true
68,Pit 4_1,Conventional Hydroelectric,HA,HY,true
69,Pit 4_2,Conventional Hydroelectric,HA,HY,true
70,Pit 5_H1,Conventional Hydroelectric,HA,HY,true
71,Pit 5_H2,Conventional Hydroelectric,HA,HY,true
72,Pit 5_H3,Conventional Hydroelectric,HA,HY,true
73,Pit 5_H4,Conventional Hydroelectric,HA,HY,true
74,Pit 6_H1,Conventional Hydroelectric,HA,HY,true
75,Pit 6_H2,Conventional Hydroelectric,HA,HY,true
76,Potter Valley_1,Conventional Hydroelectric,HA,HY,true
77,Potter Valley_2,Conventional Hydroelectric,HA,HY,true
78,Potter Valley_3,Conventional Hydroelectric,HA,HY,true
79,Rock Creek_H1,Conventional Hydroelectric,HA,HY,true
80,Rock Creek_H2,Conventional Hydroelectric,HA,HY,true
81,Salt Springs_1,Conventional Hydroelectric,HA,HY,true
82,Salt Springs_2,Conventional Hydroelectric,HA,HY,true
83,South_1,Conventional Hydroelectric,HA,HY,true
84,Spaulding 1_1,Conventional Hydroelectric,HA,HY,true
85,Spaulding 2_1,Conventional Hydroelectric,HA,HY,true
86,Spaulding 3_1,Conventional Hydroelectric,HA,HY,true
87,Spring Gap_1,Conventional Hydroelectric,HA,HY,true
88,Stanislaus_HC1,Conventional Hydroelectric,HA,HY,true
89,Tiger Creek_H1,Conventional Hydroelectric,HA,HY,true
90,Tiger Creek_H2,Conventional Hydroelectric,HA,HY,true
91,Tule River_1,Conventional Hydroelectric,HA,HY,true
92,Tule River_2,Conventional Hydroelectric,HA,HY,true
93,Volta 1_1,Conventional Hydroelectric,HA,HY,true
94,West Point PH_1,Conventional Hydroelectric,HA,HY,true
95,Wise_1,Conventional Hydroelectric,HA,HY,true
96,Wise_2,Conventional Hydroelectric,HA,HY,true
97,Copco 1_1,Conventional Hydroelectric,HA,HY,true
98,Copco 1_2,Conventional Hydroelectric,HA,HY,true
99,Copco 2_1,Conventional Hydroelectric,HA,HY,true
100,Copco 2_2,Conventional Hydroelectric,HA,HY,true
101,Fall Creek_1,Conventional Hydroelectric,HA,HY,true
102,Fall Creek_2,Conventional Hydroelectric,HA,HY,true
103,Fall Creek_3,Conventional Hydroelectric,HA,HY,true
104,Iron Gate_1,Conventional Hydroelectric,HA,HY,true
105,Drop 5_1,Conventional Hydroelectric,HA,HY,true
106,Drop 5_2,Conventional Hydroelectric,HA,HY,true
107,AES Alamitos LLC_3,Natural Gas Steam Turbine,ST,ST,false
108,AES Alamitos LLC_4,Natural Gas Steam Turbine,ST,ST,false
109,AES Alamitos LLC_5,Natural Gas Steam Turbine,ST,ST,false
110,Big Creek 2_3,Conventional Hydroelectric,HA,HY,true
111,Big Creek 2_4,Conventional Hydroelectric,HA,HY,true
112,Big Creek 2_5,Conventional Hydroelectric,HA,HY,true
113,Big Creek 2_6,Conventional Hydroelectric,HA,HY,true
114,Big Creek 3_1,Conventional Hydroelectric,HA,HY,true
115,Big Creek 3_2,Conventional Hydroelectric,HA,HY,true
116,Big Creek 3_3,Conventional Hydroelectric,HA,HY,true
117,Big Creek 3_4,Conventional Hydroelectric,HA,HY,true
118,Big Creek 3_5,Conventional Hydroelectric,HA,HY,true
119,Big Creek 8_1,Conventional Hydroelectric,HA,HY,true
120,Big Creek 8_2,Conventional Hydroelectric,HA,HY,true
121,Big Creek 2A_1,Conventional Hydroelectric,HA,HY,true
122,Big Creek 2A_2,Conventional Hydroelectric,HA,HY,true
123,Bishop Creek 2_1,Conventional Hydroelectric,HA,HY,true
124,Bishop Creek 2_2,Conventional Hydroelectric,HA,HY,true
125,Bishop Creek 2_3,Conventional Hydroelectric,HA,HY,true
126,Bishop Creek 3_1,Conventional Hydroelectric,HA,HY,true
127,Bishop Creek 3_2,Conventional Hydroelectric,HA,HY,true
128,Bishop Creek 3_3,Conventional Hydroelectric,HA,HY,true
129,Bishop Creek 4_1,Conventional Hydroelectric,HA,HY,true
130,Bishop Creek 4_2,Conventional Hydroelectric,HA,HY,true
131,Bishop Creek 4_3,Conventional Hydroelectric,HA,HY,true
132,Bishop Creek 4_4,Conventional Hydroelectric,HA,HY,true
133,Bishop Creek 4_5,Conventional Hydroelectric,HA,HY,true
134,Bishop Creek 5_1,Conventional Hydroelectric,HA,HY,true
135,Bishop Creek 5_2,Conventional Hydroelectric,HA,HY,true
136,Bishop Creek 6_1,Conventional Hydroelectric,HA,HY,true
137,Borel_1,Conventional Hydroelectric,HA,HY,true
138,Borel_2,Conventional Hydroelectric,HA,HY,true
139,Borel_3,Conventional Hydroelectric,HA,HY,true
140,Fontana_1,Conventional Hydroelectric,HA,HY,true
141,Fontana_2,Conventional Hydroelectric,HA,HY,true
142,AES Huntington Beach LLC_2,Natural Gas Steam Turbine,ST,ST,false
143,Kaweah 1_1,Conventional Hydroelectric,HA,HY,true
144,Kern River 3_1,Conventional Hydroelectric,HA,HY,true
145,Kern River 3_2,Conventional Hydroelectric,HA,HY,true
146,Kern River 1_1,Conventional Hydroelectric,HA,HY,true
147,Kern River 1_2,Conventional Hydroelectric,HA,HY,true
148,Kern River 1_3,Conventional Hydroelectric,HA,HY,true
149,Kern River 1_4,Conventional Hydroelectric,HA,HY,true
150,Long Beach Generation LLC_CT1,Natural Gas Fired Combustion Turbine,GT,GT,false
151,Long Beach Generation LLC_CT2,Natural Gas Fired Combustion Turbine,GT,GT,false
152,Long Beach Generation LLC_CT3,Natural Gas Fired Combustion Turbine,GT,GT,false
153,Long Beach Generation LLC_CT4,Natural Gas Fired Combustion Turbine,GT,GT,false
154,Mammoth Pool_1,Conventional Hydroelectric,HA,HY,true
155,Mammoth Pool_2,Conventional Hydroelectric,HA,HY,true
156,Ormond Beach_1,Natural Gas Steam Turbine,ST,ST,false
157,Ormond Beach_2,Natural Gas Steam Turbine,ST,ST,false
158,Poole_1,Conventional Hydroelectric,HA,HY,true
159,AES Redondo Beach LLC_5,Natural Gas Steam Turbine,ST,ST,false
160,AES Redondo Beach LLC_6,Natural Gas Steam Turbine,ST,ST,false
161,AES Redondo Beach LLC_8,Natural Gas Steam Turbine,ST,ST,false
162,Rush Creek_1,Conventional Hydroelectric,HA,HY,true
163,Rush Creek_2,Conventional Hydroelectric,HA,HY,true
164,Mountainview Generating Station_MV3A,Natural Gas Fired Combined Cycle,CT,CT,false
165,Mountainview Generating Station_MV3B,Natural Gas Fired Combined Cycle,CT,CT,false
166,Mountainview Generating Station_MV3C,Natural Gas Fired Combined Cycle,CT,CA,true
167,Mountainview Generating Station_MV4A,Natural Gas Fired Combined Cycle,CT,CT,false
168,Mountainview Generating Station_MV4B,Natural Gas Fired Combined Cycle,CT,CT,false
169,Mountainview Generating Station_MV4C,Natural Gas Fired Combined Cycle,CT,CA,true
170,Santa Ana 1_1,Conventional Hydroelectric,HA,HY,true
171,Santa Ana 1_2,Conventional Hydroelectric,HA,HY,true
172,Santa Ana 1_3,Conventional Hydroelectric,HA,HY,true
173,Santa Ana 1_4,Conventional Hydroelectric,HA,HY,true
174,Lower Tule River_1,Conventional Hydroelectric,HA,HY,true
175,Lower Tule River_2,Conventional Hydroelectric,HA,HY,true
176,Pardee_1,Conventional Hydroelectric,HA,HY,true
177,Pardee_2,Conventional Hydroelectric,HA,HY,true
178,Pardee_3,Conventional Hydroelectric,HA,HY,true
179,Grayson_1,Natural Gas Fired Combined Cycle,CT,CA,true
180,Grayson_2,Natural Gas Fired Combined Cycle,CT,CA,true
181,Grayson_3,Landfill Gas,OT,ST,true
182,Grayson_4,Natural Gas Steam Turbine,ST,ST,false
183,Grayson_5,Natural Gas Steam Turbine,ST,ST,false
184,Grayson_8A,Natural Gas Fired Combined Cycle,CT,CT,false
185,Grayson_8BC,Natural Gas Fired Combined Cycle,CT,CT,false
186,Grayson_9,Natural Gas Fired Combustion Turbine,GT,GT,false
187,Dion R Holm_1,Conventional Hydroelectric,HA,HY,true
188,Dion R Holm_2,Conventional Hydroelectric,HA,HY,true
189,R C Kirkwood_1,Conventional Hydroelectric,HA,HY,true
190,R C Kirkwood_2,Conventional Hydroelectric,HA,HY,true
191,R C Kirkwood_3,Conventional Hydroelectric,HA,HY,true
192,Drop 2 (CA)_1,Conventional Hydroelectric,HA,HY,true
193,Drop 2 (CA)_2,Conventional Hydroelectric,HA,HY,true
194,Drop 3 (CA)_1,Conventional Hydroelectric,HA,HY,true
195,Drop 3 (CA)_2,Conventional Hydroelectric,HA,HY,true
196,Drop 4_1,Conventional Hydroelectric,HA,HY,true
197,Drop 4_2,Conventional Hydroelectric,HA,HY,true
198,Pilot Knob_1,Conventional Hydroelectric,HA,HY,true
199,Pilot Knob_2,Conventional Hydroelectric,HA,HY,true
