eia_plant_code,plant_name,reservoir_name,mean_inflow_m3s,median_inflow_m3s,min_inflow_m3s,max_inflow_m3s,n_days_2019,inflow_source,source_station_id,confidence,notes
219,Belden,Reservoir_Belden,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
223,Caribou 2,Reservoir_Caribou 2,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
239,Electra,Reservoir_Electra,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
240,Haas,Reservoir_Haas,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
249,James B Black,Reservoir_James B Black,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
267,Pit 4,Reservoir_Pit 4,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
268,Pit 5,Reservoir_Pit 5,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
275,Rock Creek,Reservoir_Rock Creek,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
319,Big Creek 3,Reservoir_Big Creek 3,,,,,0,,,none,"No confirmed inflow gauge found (CDEC: no inflow/full-natural-flow sensor at any candidate station, or sensor exists but reports no 2019 data; USGS: no gauge identified that unambiguously measures inflow to this reservoir rather than an engineered release, tunnel diversion, or downstream tailrace). Not estimated, not interpolated."
322,Big Creek 2A,Reservoir_Big Creek 2A,1.925,0.181,0.127,6.626,365,"USGS NWIS site 11241500, parameter 00060 (discharge, mean daily, CFS), dv service, 2019-01-01 to 2019-12-31",USGS-11241500,medium,"STEVENSON C A SHAVER LK CA -- natural-inflow gauge for Shaver Lake (Big Creek 2A's reservoir); drainage area only 29.4 sq mi, so it likely does not capture water imported into Shaver Lake via the Big Creek powerhouse tunnel system from the upper Big Creek watershed. Full 365-day 2019 series."
