eia_plant_code,plant_name,nid_id,crosswalk_source,crosswalk_confidence,eha_plant_mode,mode_source,mode_confidence,head_m,head_source,head_confidence,nid_storage_acreft,nid_max_storage_acreft,dam_height_m,nid_source,nid_confidence,intake_elevation_m,intake_elevation_source,intake_elevation_confidence,cdec_station,cdec_capacity_acreft,cdec_storage_20190101_acreft,cdec_elevation_20190101_ft,cdec_source,cdec_confidence,dam_name_hilarri,notes
445,Shasta,CA10186,ORNL HILARRI v4 (HILARRI_v4.csv),high,Peaking,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,129.54,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",medium,4661860.0,4661860.0,183.49,"USACE NID Public FeatureServer, dam record 'Shasta Dam' (NIDID CA10186)",high,,,,SHA,4552000,2270141,972.37,CDEC station SHA (cdec.water.ca.gov),high,SHASTA,"EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; Units report differing heads (ft): [330.0, 425.0]; used head of largest-MW unit (425.0 ft); NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
437,Edward C Hyatt,CA00035,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,187.45,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,3540000.0,3540000.0,234.7,"USACE NID Public FeatureServer, dam record 'Oroville' (NIDID CA00035)",high,,,,ORO,3424753,1032331,668.85,CDEC station ORO (cdec.water.ca.gov),high,OROVILLE,HILARRI returned 2 distinct rows for this EIA code; EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field
448,W R Gianelli,CA10183,ORNL HILARRI v4 (HILARRI_v4.csv),high,Run-of-river,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,,,,2118380.0,2094900.0,92.96,"USACE NID Public FeatureServer, dam record 'B.F. Sisk Dam' (NIDID CA10183)",high,,,,SNL,2041000,1509517,500.16,CDEC station SNL (cdec.water.ca.gov),high,B. F. SISK,"EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; EHA unit records exist but Head_ft is NA for all units; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
454,Colgate,CA00863,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,,,,1010000.0,1010000.0,196.6,"USACE NID Public FeatureServer, dam record 'New Bullards Bar' (NIDID CA00863)",high,,,,BUL,966000,542786,1850.92,CDEC station BUL (cdec.water.ca.gov),high,NEW BULLARDS BAR,EHA plant record found but Mode field is NA; EHA unit records exist but Head_ft is NA for all units; NID has no elevation field; EHA plant/unit datasets also carry no elevation field
6158,New Melones,CA10246,ORNL HILARRI v4 (HILARRI_v4.csv),high,Peaking,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,148.44,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,2870000.0,2870000.0,176.17,"USACE NID Public FeatureServer, dam record 'New Melones Dam' (NIDID CA10246)",high,,,,NML,2400000,1789765,1032.63,CDEC station NML (cdec.water.ca.gov),high,NEW MELONES,"EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
436,Devil Canyon,CA01364,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,,,,960.0,960.0,12.19,"USACE NID Public FeatureServer, dam record 'Devil Canyon Second Afterbay' (NIDID CA01364)",high,,,,,,,,,,DEVIL CANYON SECOND AFTERBAY,EHA plant record found but Mode field is NA; EHA unit records exist but Head_ft is NA for all units; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir
441,Folsom,CA10148,ORNL HILARRI v4 (HILARRI_v4.csv),high,Intermediate Peaking,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,91.44,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",medium,1002000.0,976955.0,83.82,"USACE NID Public FeatureServer, dam record 'Folsom Dam' (NIDID CA10148)",high,,,,FOL,977000,310502,388.96,CDEC station FOL (cdec.water.ca.gov),high,FOLSOM,"HILARRI returned 2 distinct rows for this EIA code; EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; Units report differing heads (ft): [300.0, 330.0]; used head of largest-MW unit (300.0 ft); NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
344,Mammoth Pool,CA00443,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,306.02,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,122175.0,122175.0,125.27,"USACE NID Public FeatureServer, dam record 'Mammoth Pool' (NIDID CA00443)",high,,,,MPL,123000,,,CDEC station MPL (cdec.water.ca.gov),medium,MAMMOTH POOL,EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; CDEC station MPL exists but reports no data for 2019 (sensor 15 empty all year)
450,Spring Creek,CA10204,ORNL HILARRI v4 (HILARRI_v4.csv),high,Peaking,"ORNL EHA Plant Database FY2026 (eha_plant_fy2026.csv, field Mode)",medium,172.52,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,276117.0,276117.0,80.16,"USACE NID Public FeatureServer, dam record 'Whiskeytown Dam' (NIDID CA10204)",high,,,,WHI,241100,205888,1198.57,CDEC station WHI (cdec.water.ca.gov),high,WHISKEYTOWN,"EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
319,Big Creek 3,CA00432,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,249.94,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",medium,1726.0,1726.0,47.24,"USACE NID Public FeatureServer, dam record 'Big Creek Dam No. 6' (NIDID CA00432)",high,,,,,,,,,,BIG CREEK DAM NO. 6,"EHA plant record found but Mode field is NA; Units report differing heads (ft): [740.0, 750.0, 820.0]; used head of largest-MW unit (820.0 ft); NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir"
439,Don Pedro,CA00281,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,137.16,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,2300000.0,2300000.0,178.31,"USACE NID Public FeatureServer, dam record 'Don Pedro Main' (NIDID CA00281)",high,,,,DNP,2030000,1427165,776.98,CDEC station DNP (cdec.water.ca.gov),high,DON PEDRO MAIN,EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field
249,James B Black,CA00417,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,339.85,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,24241.0,,65.23,"USACE NID Public FeatureServer, dam record 'Iron Canyon' (NIDID CA00417)",high,,,,IRC,24300,,,CDEC station IRC (cdec.water.ca.gov),medium,IRON CANYON,EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; CDEC station IRC exists but reports no data for 2019 (sensor 15 empty all year)
7907,Pine Flat,CA10112,ORNL HILARRI v4 (HILARRI_v4.csv),high,,,,105.16,"ORNL EHA Unit Database FY2026 (eha_unit_fy2026.csv, field Head_ft)",high,1091700.0,1091700.0,125.58,"USACE NID Public FeatureServer, dam record 'Pine Flat Dam' (NIDID CA10112)",high,,,,PNF,1000000,319089,801.05,CDEC station PNF (cdec.water.ca.gov),high,PINE FLAT DAM,HILARRI returned 2 distinct rows for this EIA code; EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field
