reservoir_name,eia_plant_code,plant_name,storage_level_min_m3,storage_level_max_m3,initial_level_m3,initial_level_fraction,intake_elevation_m,powerhouse_elevation_m,head_m,turbine_type,level_data_type,evaporative_loss,inflow_m3s,head_to_volume_slope,head_is_fallback,initial_is_default,inflow_source,param_source,confidence,notes
Reservoir_Belden,219,Belden,0.0,3059034.9,1529517.4,0.5,210.31,0.0,210.31,FRANCIS,USABLE_VOLUME,0.0,,14545.4,false,true,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=50% of storage_level_max_m3 (sanctioned default; no CDEC 2019-01-01 reading for this plant); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 210.31 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=low (default); head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"initial_level_m3 defaulted to 50% of max storage -- no CDEC station or no 2019-01-01 reading; turbine_type guess basis: head 210.31 m in [30, 300] m band; hydro_reservoir_sources.csv notes: EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir"
Reservoir_Caribou 2,223,Caribou 2,0.0,61547041.4,51581741.9,0.838086,335.28,0.0,335.28,PELTON,USABLE_VOLUME,0.0,,183569.0,false,false,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station BTV storage on 2019-01-01 (matches CATS time-series epoch); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 335.28 m > 300 m); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,turbine_type guess basis: head 335.28 m > 300 m; hydro_reservoir_sources.csv notes: EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field
Reservoir_Electra,239,Electra,0.0,1552953.6,776476.8,0.5,386.49,0.0,386.49,PELTON,USABLE_VOLUME,0.0,,4018.1,false,true,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=50% of storage_level_max_m3 (sanctioned default; no CDEC 2019-01-01 reading for this plant); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 386.49 m > 300 m); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=low (default); head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"initial_level_m3 defaulted to 50% of max storage -- no CDEC station or no 2019-01-01 reading; turbine_type guess basis: head 386.49 m > 300 m; hydro_reservoir_sources.csv notes: EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir"
Reservoir_Haas,240,Haas,0.0,164793168.5,54025269.4,0.327837,692.2,0.0,692.2,PELTON,USABLE_VOLUME,0.0,,238072.0,false,false,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=CDEC station WSN storage on 2019-01-01 (matches CATS time-series epoch); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 692.20 m > 300 m); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=high; head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"turbine_type guess basis: head 692.20 m > 300 m; hydro_reservoir_sources.csv notes: HILARRI returned 2 distinct rows for this EIA code; EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field"
Reservoir_James B Black,249,James B Black,0.0,29900832.3,14950416.2,0.5,339.85,0.0,339.85,PELTON,USABLE_VOLUME,0.0,,87982.4,false,true,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=50% of storage_level_max_m3 (sanctioned default; no CDEC 2019-01-01 reading for this plant); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 339.85 m > 300 m); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=low (default); head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,initial_level_m3 defaulted to 50% of max storage -- no CDEC station or no 2019-01-01 reading; turbine_type guess basis: head 339.85 m > 300 m; hydro_reservoir_sources.csv notes: EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; CDEC station IRC exists but reports no data for 2019 (sensor 15 empty all year)
Reservoir_Pit 4,267,Pit 4,0.0,2429959.1,1214979.6,0.5,116.43,0.0,116.43,FRANCIS,USABLE_VOLUME,0.0,,20870.6,false,true,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=50% of storage_level_max_m3 (sanctioned default; no CDEC 2019-01-01 reading for this plant); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 116.43 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=low (default); head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"initial_level_m3 defaulted to 50% of max storage -- no CDEC station or no 2019-01-01 reading; turbine_type guess basis: head 116.43 m in [30, 300] m band; hydro_reservoir_sources.csv notes: EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir"
Reservoir_Pit 5,268,Pit 5,0.0,407049.0,203524.5,0.5,187.45,0.0,187.45,FRANCIS,USABLE_VOLUME,0.0,,2171.51,false,true,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=50% of storage_level_max_m3 (sanctioned default; no CDEC 2019-01-01 reading for this plant); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 187.45 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=low (default); head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"initial_level_m3 defaulted to 50% of max storage -- no CDEC station or no 2019-01-01 reading; turbine_type guess basis: head 187.45 m in [30, 300] m band; hydro_reservoir_sources.csv notes: EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; HILARRI explicitly flags this dam as having NO associated reservoir; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir"
Reservoir_Rock Creek,275,Rock Creek,0.0,5427319.9,2713660.0,0.5,146.61,0.0,146.61,FRANCIS,USABLE_VOLUME,0.0,,37018.8,false,true,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=50% of storage_level_max_m3 (sanctioned default; no CDEC 2019-01-01 reading for this plant); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 146.61 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=low (default); head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"initial_level_m3 defaulted to 50% of max storage -- no CDEC station or no 2019-01-01 reading; turbine_type guess basis: head 146.61 m in [30, 300] m band; hydro_reservoir_sources.csv notes: EHA 'Mode' is an operational-dispatch label (Peaking/Intermediate Peaking/Run-of-river), not a storage-type classification; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir"
Reservoir_Big Creek 3,319,Big Creek 3,0.0,2128989.6,1064494.8,0.5,249.94,0.0,249.94,FRANCIS,USABLE_VOLUME,0.0,,8518.0,false,true,,"storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=50% of storage_level_max_m3 (sanctioned default; no CDEC 2019-01-01 reading for this plant); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 249.94 m in [30, 300] m band); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=left empty; no CDEC or USGS flow gauge for this reservoir; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=low (default); head_m=medium; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,"initial_level_m3 defaulted to 50% of max storage -- no CDEC station or no 2019-01-01 reading; turbine_type guess basis: head 249.94 m in [30, 300] m band; hydro_reservoir_sources.csv notes: EHA plant record found but Mode field is NA; Units report differing heads (ft): [740.0, 750.0, 820.0]; used head of largest-MW unit (820.0 ft); NID has no elevation field; EHA plant/unit datasets also carry no elevation field; No CDEC station identified for this reservoir"
Reservoir_Big Creek 2A,322,Big Creek 2A,0.0,167220660.7,83610330.3,0.5,737.01,0.0,737.01,PELTON,USABLE_VOLUME,0.0,1.925,226891.0,false,true,"USGS NWIS site 11241500, parameter 00060 (discharge, mean daily, CFS), dv service, 2019-01-01 to 2019-12-31","storage_level_max_m3=USACE NID Public FeatureServer (nid_storage_acreft, 1233.4818 m3/acre-ft); initial_level_m3=50% of storage_level_max_m3 (sanctioned default; no CDEC 2019-01-01 reading for this plant); head_m=ORNL EHA Unit Database FY2026 (Head_ft, converted); intake_elevation_m=relative datum, set equal to head_m (sanctioned; no elevation source exists); powerhouse_elevation_m=relative datum, sanctioned default 0.0; turbine_type=guessed from head band (head 737.01 m > 300 m); level_data_type=USABLE_VOLUME (NID and CDEC both report volume directly); evaporative_loss=sanctioned default 0.0; inflow_m3s=USGS NWIS site 11241500, parameter 00060 (discharge, mean daily, CFS), dv service, 2019-01-01 to 2019-12-31; head_to_volume_slope=derived, storage_level_max_m3 / head_m (m^3 per m, POM v=h*factor); storage_level_min_m3=sanctioned default 0.0",storage_level_max_m3=high; initial_level_m3=low (default); head_m=high; turbine_type=guess (sanctioned); intake_elevation_m/powerhouse_elevation_m=default (sanctioned); evaporative_loss/storage_level_min_m3=default (sanctioned); head_to_volume_slope=derived,initial_level_m3 defaulted to 50% of max storage -- no CDEC station or no 2019-01-01 reading; turbine_type guess basis: head 737.01 m > 300 m; hydro_reservoir_sources.csv notes: EHA plant record found but Mode field is NA; NID has no elevation field; EHA plant/unit datasets also carry no elevation field; CDEC station SHV exists but reports no data for 2019 (sensor 15 empty all year)
