row_index,new_name,PlantCode,plant_name,plant_pmax_mw,eia_pm,target_type,promoted,reason,eha_plant_mode
1,Rollins_1P,34,Rollins,12.1,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 12.1 MW < 100 MW and unit is not PS,
4,Turlock Lake_1,161,Turlock Lake,3.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 3.3 MW < 100 MW and unit is not PS,
5,Turlock Lake_2,161,Turlock Lake,3.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 3.3 MW < 100 MW and unit is not PS,
6,Turlock Lake_3,161,Turlock Lake,3.3,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 3.3 MW < 100 MW and unit is not PS,
7,Hickman_1,162,Hickman,1.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 1.0 MW < 100 MW and unit is not PS,
8,Hickman_2,162,Hickman,1.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 1.0 MW < 100 MW and unit is not PS,
9,Volta 2_1,180,Volta 2,1.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 1.0 MW < 100 MW and unit is not PS,
10,Alta Powerhouse_1,214,Alta Powerhouse,1.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 1.0 MW < 100 MW and unit is not PS,
11,Angels_1,215,Angels,1.4,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 1.4 MW < 100 MW and unit is not PS,
12,Belden_1,219,Belden,117.9,HY,HydroTurbine,true,plant aggregate Pmax 117.9 MW >= 100 MW threshold,
13,Bucks Creek_H1,220,Bucks Creek,66.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 66.0 MW < 100 MW and unit is not PS,
14,Bucks Creek_H2,220,Bucks Creek,66.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 66.0 MW < 100 MW and unit is not PS,
15,Butt Valley_1,221,Butt Valley,40.0,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 40.0 MW < 100 MW and unit is not PS,
16,Caribou 1_1,222,Caribou 1,73.8,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 73.8 MW < 100 MW and unit is not PS,
17,Caribou 1_2,222,Caribou 1,73.8,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 73.8 MW < 100 MW and unit is not PS,
18,Caribou 1_3,222,Caribou 1,73.8,HY,HydroTurbine,false,not promoted: plant aggregate Pmax 73.8 MW < 100 MW and unit is not PS,
19,Caribou 2_4,223,Caribou 2,117.9,HY,HydroTurbine,true,plant aggregate Pmax 117.9 MW >= 100 MW threshold,
